"plant_height","rmax","incli_base","infl","phyllotactic_angle","skew","wl_slp","w0_slp","lm_slp","incli_top","phyllotactic_deviation","plant_area"
101.923356275244,0.321466348127434,37.6356215870942,50.5582503657328,134.183025055427,0.1,0.007,0.01,-0.02,20,30,10000
298.820094346841,0.28561269247273,63.8111376803267,44.1089870002837,185.029218815784,0.1,0.007,0.01,-0.02,20,30,10000
261.067564904296,0.302876823572027,44.6557304070461,22.6449335681533,269.757711227513,0.1,0.007,0.01,-0.02,20,30,10000
172.915000778701,0.726078126125021,88.1692041857081,51.213424718139,215.706895598946,0.1,0.007,0.01,-0.02,20,30,10000
197.68844736006,0.617690199639323,60.1049146555472,52.0051644862441,184.038200805401,0.1,0.007,0.01,-0.02,20,30,10000
157.444867286381,0.274495797641335,95.348278018583,33.7225005859096,139.321755145306,0.1,0.007,0.01,-0.02,20,30,10000
221.298711791542,0.500403675150751,87.2232851307456,23.5556136228166,96.8685796006876,0.1,0.007,0.01,-0.02,20,30,10000
273.60605033491,0.532041030815927,85.4302291031963,27.0520621047527,264.27962927774,0.1,0.007,0.01,-0.02,20,30,10000
211.701459333893,0.543732462710485,72.2198826695158,35.1784105247413,202.735289262635,0.1,0.007,0.01,-0.02,20,30,10000
128.276757265366,0.563842178545178,69.2323857937363,49.6508298675924,115.065516480422,0.1,0.007,0.01,-0.02,20,30,10000
162.248680230308,0.451880687512863,100.33923707703,41.7478521070141,170.022499180418,0.1,0.007,0.01,-0.02,20,30,10000
214.532250367594,0.384432997669127,66.1774577090329,58.9658929029636,215.44042184078,0.1,0.007,0.01,-0.02,20,30,10000
149.185131869043,0.334407559795783,101.047776452223,58.5588695104648,197.835706363494,0.1,0.007,0.01,-0.02,20,30,10000
117.855255876267,0.454533936368567,106.580932327293,30.5009027490248,253.699192868374,0.1,0.007,0.01,-0.02,20,30,10000
248.758145242691,0.575584725737912,97.4614258833753,50.4403134559873,253.31064217344,0.1,0.007,0.01,-0.02,20,30,10000
185.841220447957,0.453719909187923,70.2206418334761,55.1309712384143,147.873424999581,0.1,0.007,0.01,-0.02,20,30,10000
131.054721235437,0.483518408686963,105.107660737463,42.0280015102417,160.249086188033,0.1,0.007,0.01,-0.02,20,30,10000
